ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,OccupancyRatio,PriceModel1,VehicleWeight,TrafficLevel,DemandRaw,DemandNorm,PriceModel2,Timestamp
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,0.10571923743500866,10.528596187175044,1.0,1,0.44228769497400344,0.10101386010475422,10.51,2016-10-04 07:59:00
7872,Broad Street,690,26.13795775,91.74099445,178,car,low,2,0,04-10-2016,07:59:00,0.2579710144927536,11.289855072463768,1.0,1,0.8031884057971015,0.17623323056366458,10.88,2016-10-04 07:59:00
5248,BHMNCPHST01,1200,26.14001386,91.73099967,237,bike,low,2,0,04-10-2016,07:59:00,0.1975,10.9875,0.5,1,0.629,0.13992866858201325,10.7,2016-10-04 07:59:00
3936,BHMMBMMBX01,687,20.0000347,78.00000286,264,car,low,2,0,04-10-2016,07:59:00,0.38427947598253276,11.921397379912664,1.0,1,0.8537117903930131,0.18676337658108455,10.93,2016-10-04 07:59:00
17056,Shopping,1920,26.15050395,91.73353109,614,cycle,low,2,0,04-10-2016,07:59:00,0.31979166666666664,11.598958333333334,0.0,1,0.5279166666666666,0.11886075580378522,10.59,2016-10-04 07:59:00
2624,BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0,04-10-2016,07:59:00,0.24893617021276596,11.24468085106383,1.0,1,0.7995744680851063,0.1754800092165688,10.88,2016-10-04 07:59:00
1312,BHMBCCTHL01,387,26.14449459,91.73620513,120,car,low,2,0,04-10-2016,07:59:00,0.31007751937984496,11.550387596899224,1.0,1,0.8240310077519379,0.1805772713226669,10.9,2016-10-04 07:59:00
6560,BHMNCPNST01,485,26.14004753,91.73097233,249,car,low,2,0,04-10-2016,07:59:00,0.51340206185567,12.56701030927835,1.0,1,0.905360824742268,0.19752813190589713,10.99,2016-10-04 07:59:00
9184,Others-CCCPS105a,2009,26.14747299,91.72804914,709,car,low,2,0,04-10-2016,07:59:00,0.35291189646590343,11.764559482329517,1.0,1,0.8411647585863613,0.184148308765142,10.92,2016-10-04 07:59:00
10496,Others-CCCPS119a,2803,26.14754061,91.72797041,195,car,low,1,0,04-10-2016,07:59:00,0.06956831965750981,10.347841598287548,1.0,1,0.42782732786300387,0.09800001258914964,10.49,2016-10-04 07:59:00
11808,Others-CCCPS135a,3883,26.14749943,91.72800489,1081,car,low,2,0,04-10-2016,07:59:00,0.27839299510687615,11.39196497553438,1.0,1,0.8113571980427505,0.1779357803002001,10.89,2016-10-04 07:59:00
13120,Others-CCCPS202,2937,26.14749053,91.72799688,547,bike,low,2,0,04-10-2016,07:59:00,0.18624446714334356,10.931222335716718,0.5,1,0.6244977868573374,0.1389903117760913,10.69,2016-10-04 07:59:00
15744,Others-CCCPS98,3103,26.14749998,91.72797778,588,car,average,2,0,04-10-2016,07:59:00,0.1894940380277151,10.947470190138576,1.0,2,0.575797615211086,0.1288401620462187,10.64,2016-10-04 07:59:00
14432,Others-CCCPS8,1322,26.14754886,91.72799519,445,bike,average,3,0,04-10-2016,07:59:00,0.33661119515885024,11.68305597579425,0.5,2,0.78464447806354,0.17236828231578555,10.86,2016-10-04 07:59:00
1313,BHMBCCTHL01,387,26.14449459,91.73620513,129,car,average,2,0,04-10-2016,08:25:00,0.3333333333333333,11.666666666666666,1.0,2,0.6333333333333333,0.14083182725016483,10.7,2016-10-04 08:25:00
3937,BHMMBMMBX01,687,20.0000347,78.00000286,302,car,low,1,0,04-10-2016,08:25:00,0.4395924308588064,12.197962154294032,1.0,1,0.5758369723435226,0.12884836490821416,10.64,2016-10-04 08:25:00
14433,Others-CCCPS8,1322,26.14754886,91.72799519,478,truck,low,2,0,04-10-2016,08:25:00,0.3615733736762481,11.80786686838124,1.5,1,0.9946293494704992,0.21613358772929828,11.08,2016-10-04 08:25:00
6561,BHMNCPNST01,485,26.14004753,91.73097233,267,truck,low,2,0,04-10-2016,08:25:00,0.5505154639175258,12.75257731958763,1.5,1,1.0702061855670102,0.23188540495207546,11.16,2016-10-04 08:25:00
13121,Others-CCCPS202,2937,26.14749053,91.72799688,665,car,low,2,0,04-10-2016,08:25:00,0.22642151855635,11.13210759278175,1.0,1,0.79056860742254,0.1736029966500545,10.87,2016-10-04 08:25:00
11809,Others-CCCPS135a,3883,26.14749943,91.72800489,1467,bike,low,3,0,04-10-2016,08:25:00,0.3778006695853721,11.889003347926861,0.5,1,1.0011202678341486,0.21748643292569694,11.09,2016-10-04 08:25:00
9185,Others-CCCPS105a,2009,26.14747299,91.72804914,780,car,average,3,0,04-10-2016,08:25:00,0.38825286212045795,11.941264310602289,1.0,2,0.955301144848183,0.20793675490449434,11.04,2016-10-04 08:25:00
5249,BHMNCPHST01,1200,26.14001386,91.73099967,315,bike,low,2,0,04-10-2016,08:25:00,0.2625,11.3125,0.5,1,0.6549999999999999,0.14534762059092265,10.73,2016-10-04 08:25:00
7873,Broad Street,690,26.13795775,91.74099445,269,car,low,2,0,04-10-2016,08:25:00,0.3898550724637681,11.94927536231884,1.0,1,0.8559420289855073,0.18722820565420545,10.94,2016-10-04 08:25:00
10497,Others-CCCPS119a,2803,26.14754061,91.72797041,238,car,average,2,0,04-10-2016,08:25:00,0.0849090260435248,10.424545130217624,1.0,2,0.5339636104174099,0.12012106726477956,10.6,2016-10-04 08:25:00
17057,Shopping,1920,26.15050395,91.73353109,761,car,low,2,0,04-10-2016,08:25:00,0.3963541666666667,11.981770833333334,1.0,1,0.8585416666666668,0.1877700253401576,10.94,2016-10-04 08:25:00
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,0.11091854419410745,10.554592720970538,1.0,1,0.44436741767764293,0.10144731847101814,10.51,2016-10-04 08:25:00
15745,Others-CCCPS98,3103,26.14749998,91.72797778,678,bike,average,3,0,04-10-2016,08:25:00,0.21849822752175313,11.092491137608766,0.5,2,0.7373992910087012,0.16252138226570398,10.81,2016-10-04 08:25:00
2625,BHMEURBRD01,470,26.14901995,91.7395035,174,bike,low,1,0,04-10-2016,08:25:00,0.3702127659574468,11.851063829787234,0.5,1,0.39808510638297867,0.09180110217227995,10.46,2016-10-04 08:25:00
11810,Others-CCCPS135a,3883,26.14749943,91.72800489,2007,car,low,2,0,04-10-2016,08:59:00,0.516868400721092,12.58434200360546,1.0,1,0.9067473602884368,0.19781711535141006,10.99,2016-10-04 08:59:00
14434,Others-CCCPS8,1322,26.14754886,91.72799519,518,car,average,3,0,04-10-2016,08:59:00,0.3918305597579425,11.959152798789713,1.0,2,0.9567322239031768,0.2082350221629546,11.04,2016-10-04 08:59:00
1314,BHMBCCTHL01,387,26.14449459,91.73620513,155,car,low,2,0,04-10-2016,08:59:00,0.4005167958656331,12.002583979328165,1.0,1,0.8602067183462532,0.18811705746108193,10.94,2016-10-04 08:59:00
10498,Others-CCCPS119a,2803,26.14754061,91.72797041,323,car,low,2,0,04-10-2016,08:59:00,0.11523367820192651,10.576168391009633,1.0,1,0.7460934712807705,0.16433343402151748,10.82,2016-10-04 08:59:00
17058,Shopping,1920,26.15050395,91.73353109,958,car,low,2,0,04-10-2016,08:59:00,0.49895833333333334,12.494791666666666,1.0,1,0.8995833333333334,0.19632398003370855,10.98,2016-10-04 08:59:00
7874,Broad Street,690,26.13795775,91.74099445,415,bike,low,3,0,04-10-2016,08:59:00,0.6014492753623188,13.007246376811594,0.5,1,1.0905797101449275,0.23613168002669357,11.18,2016-10-04 08:59:00
6562,BHMNCPNST01,485,26.14004753,91.73097233,278,car,low,2,0,04-10-2016,08:59:00,0.5731958762886598,12.8659793814433,1.0,1,0.929278350515464,0.20251305207269726,11.01,2016-10-04 08:59:00
2626,BHMEURBRD01,470,26.14901995,91.7395035,269,truck,low,2,0,04-10-2016,08:59:00,0.5723404255319149,12.861702127659575,1.5,1,1.078936170212766,0.2337049190995319,11.17,2016-10-04 08:59:00
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,0.1386481802426343,10.693240901213171,1.0,1,0.7554592720970537,0.16628546575799608,10.83,2016-10-04 08:59:00
5250,BHMNCPHST01,1200,26.14001386,91.73099967,441,car,low,2,0,04-10-2016,08:59:00,0.3675,11.8375,1.0,1,0.847,0.1853644969644077,10.93,2016-10-04 08:59:00
15746,Others-CCCPS98,3103,26.14749998,91.72797778,792,car,low,3,0,04-10-2016,08:59:00,0.25523686754753466,11.276184337737673,1.0,1,1.1020947470190139,0.23853165818828959,11.19,2016-10-04 08:59:00
13122,Others-CCCPS202,2937,26.14749053,91.72799688,848,bike,low,2,0,04-10-2016,08:59:00,0.28872999659516513,11.443649982975826,0.5,1,0.665491998638066,0.14753437586389279,10.74,2016-10-04 08:59:00
9186,Others-CCCPS105a,2009,26.14747299,91.72804914,864,car,low,2,0,04-10-2016,08:59:00,0.4300647088103534,12.150323544051767,1.0,1,0.8720258835241415,0.19058042241817233,10.95,2016-10-04 08:59:00
3938,BHMMBMMBX01,687,20.0000347,78.00000286,346,truck,low,2,0,04-10-2016,08:59:00,0.5036390101892285,12.518195050946144,1.5,1,1.0514556040756913,0.22797738567359074,11.14,2016-10-04 08:59:00
2627,BHMEURBRD01,470,26.14901995,91.7395035,351,cycle,low,3,0,04-10-2016,09:32:00,0.7468085106382979,13.73404255319149,0.0,1,0.9987234042553192,0.21698687566779004,11.08,2016-10-04 09:32:00
1315,BHMBCCTHL01,387,26.14449459,91.73620513,204,cycle,low,2,0,04-10-2016,09:32:00,0.5271317829457365,12.635658914728683,0.0,1,0.6108527131782946,0.13614638872129262,10.68,2016-10-04 09:32:00
13123,Others-CCCPS202,2937,26.14749053,91.72799688,1036,car,low,3,0,04-10-2016,09:32:00,0.35274089206673476,11.763704460333674,1.0,1,1.1410963568266939,0.24666042171975225,11.23,2016-10-04 09:32:00
14435,Others-CCCPS8,1322,26.14754886,91.72799519,590,cycle,low,3,0,04-10-2016,09:32:00,0.4462934947049924,12.231467473524962,0.0,1,0.8785173978819969,0.19193339183241714,10.96,2016-10-04 09:32:00
7875,Broad Street,690,26.13795775,91.74099445,530,car,low,2,0,04-10-2016,09:32:00,0.7681159420289855,13.840579710144928,1.0,1,1.0072463768115942,0.2187632441007018,11.09,2016-10-04 09:32:00
15747,Others-CCCPS98,3103,26.14749998,91.72797778,932,car,low,3,0,04-10-2016,09:32:00,0.30035449564937156,11.501772478246858,1.0,1,1.1201417982597486,0.2422930468258231,11.21,2016-10-04 09:32:00
10499,Others-CCCPS119a,2803,26.14754061,91.72797041,420,bike,low,2,0,04-10-2016,09:32:00,0.14983945772386728,10.749197288619337,0.5,1,0.6099357830895469,0.13595528102335228,10.68,2016-10-04 09:32:00
9187,Others-CCCPS105a,2009,26.14747299,91.72804914,1004,car,low,3,0,04-10-2016,09:32:00,0.4997511199601792,12.498755599800896,1.0,1,1.1999004479840716,0.25891644279318937,11.29,2016-10-04 09:32:00
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,0.1854419410745234,10.927209705372617,1.0,1,0.7741767764298093,0.17018659105437134,10.85,2016-10-04 09:32:00
17059,Shopping,1920,26.15050395,91.73353109,1121,cycle,low,3,0,04-10-2016,09:32:00,0.5838541666666667,12.919270833333334,0.0,1,0.9335416666666667,0.2034016176735502,11.02,2016-10-04 09:32:00
